اٹوٹ unbreakable
فسادی mischievous
فصاحت eloquence
فصّاد phlebotomist
فصل crop
فعلیات physiology
فعلیاتی physiological
فقاریہ vertebrate
فقط only
فقط merely
فقیر beggar
فقیر fakir
فقیر mendicant
فلاخن catapult
فلسفہ philosophy
فلسفی philosopher
فلسفیانہ philosophical
فوطہ testicle
فوطہ scrotum
فہم intelligence
فہیم wise
فی per
قاسم distributor
قاصد messenger
قاعدہ law
قافلہ caravan
قالین carpet
قاموس dictionary
قانونی legal
قانونی legislative
قبالت midwifery
قبر tomb
قبضہ possession
قبیلہ tribe
قبیلہ clan
قتل massacre
قتل assassination
قد stature
قدر dignity
قدیم bygone
قدیم ancient
قرابادین pharmacopoeia
قرض loan
قرض debt
قرنا trumpet
قریب near
قسم vow
قشر shell
قصداً deliberately
قصیدہ eulogy
قطار row
قطعاً definitely
قطعی categorical
قطعی altogether
قلم pen
قمیص shirt
قہر wrath
کاٹنا clip
کارروائی action
کارروائی proceeding
کارکن worker
کاروباری businessman
کارخانہ workshop
کاروبار business
کاشت cultivation
کاغذ paper
کافی adequate
کافی sufficient
کاگ cork
کال famine
کالا black
کام work
کام business
کامران successful
کامی worker
کامیاب successful
کانپنا shiver
کانٹا weighbridge
کانٹا thorn
کائی moss
کباڑ junk
کبرا grey
کبھی ever
کپتان captain
کپٹ malice
کپکپانا tremble
کپکپانا shake
کپکپانا shiver
کپکپی tremble
کٹّر rigid
کثافت density
کثرت abundance
کثیر multi-
کثیر abundant
کثیر copious
کثیف dense
کچّا raw
کچھوا turtle
کچھوا tortoise
کر tax
کراہت aversion
کراہنا moan
کردنی workable
کرفس celery
کرنا do
کریہہ abominable
کڑا hard
کڑھائی embroidery
کسا tight
کسبی whore
کسمسانا fidget
کسنا brace
کشید extraction
کفّارہ atonement
کل machine
کُل entire
کلاں grand
کلائی wrist
کلّر salinity
کلیسا church
کم less
کم few
کمائی gain
کمتر less
کمر back
کمزور weak
کمی deficiency
کمی scarcity
کمی dearth
کمی shortfall
کمیاب scarce
کمیدان commandant
کمیلا abattoir
کمینگی baseness
کنجوس stingy
کنستر canister
کنکھجورا centipede
کنگنی cornice
کنگھا comb
کنیسہ synagogue
کوتاہی shortcoming
کوتاہی littleness
کوتاہی defect
کوٹ castle
کوٹ fort
کوڑا whip
کوڑھ leprosy
کوسنا imprecation
کوشش attempt
کوشش effort
کوفت vexation
کُوکنار poppy
کونا corner
کوہی hilly
کوئی some
کہانت prophecy
کہانی story
کہانی tale
کہاوت proverb
کہاوت adage
کہتری inferiority
کہنا utter
کہنا tell
کہیں lest
کئی many
کئی several
کیچوا tapeworm
کیکٹ lobster
کھاڑی bay
کھال skin
کھانا meal
کھانسی cough
کھائی ditch
کھائی trench
کھبّا left-handed
کھٹّا sour
کُھرلی manger
کھریا chalk
کھڑا vertical
کھڑا perpendicular
کھڑنک brittle
کُھلا open
کھنکنا chink
کھوپرا copra
کھوپڑی cranium
کھوجی tracker
کھودنا dig
کھودنا delve
کھوکھلا empty
کھولنا open
کھیل frolic
کھیل show
کھیل play
گاد sediment
گاڑی vehicle
