سرو cypress
وصی testator
وصی executor
رُو manner
رُو basis
رُو mode
رُو cause
رُو countenance
رُو face
رُو surface
رُو reason
شرعاً legally
دائی confidant
دائی nurse
دائی insider
دائی maidservant
دائی midwife
دہانہ mouth
دہانہ etc.
دہانہ water-bag
دہانہ bore
دہانہ verge
دہانہ brink
دہانہ edge
دقیق minute
دقیق subtle
دقیق thin
دقیق flour
دقیق fine
دقیق difficult
دقیق recondite
دقیق delicate
دقیق obscure
دقیق abstruse
دقیق slender
فراوانی plentifulness
فراوانی plenty
فراوانی abundance
مدن lust
مدن honeybee
مدن love
مدن beeswax
مدن wine
آبادیاتی demographic
نزار lean
نزار thin
نزار poor
نزار slender
چھتری parasol
چھتری poop
چھتری cupola
چھتری sunshade
چھتری umbrella
چھتری kshatriya
چھتری canopy
بکتر armour
بکتر cuirass
مجال power
مجال ability
مجال opportunity
مجال strength
مجال room
مجال authority
تازگی verdure
تازگی greenness
تازگی innovation
تازگی freshness
تازگی renewal
ازخود voluntarily
نافرمان disobedient
یکطرفہ one-sided
برطرفی discharge
برطرفی dismissal
سانگ acting
سانگ drama
سانگ mockery
سانگ jocularity
سانگ disguise
سانگ farce
سانگ mimicry
سانگ personification
سانگ buffoonery
سانگ play
انگ share
انگ division
انگ fragment
انگ side
انگ part
انگ aspect
انگ mars
تراکیب plans
تراکیب methods
آنی transitory
آنی death
آنی inevitable
آنی momentary
آنی brief
آنی fate
برساتی rainy
دانائی sagacity
دانائی wisdom
ایلچی messenger
ایلچی ambassador
ایلچی emissary
ایلچی representative
ایلچی diplomat
بوسیدہ rotten
بوسیدہ dilapidated
بوسیدہ decayed
بوسیدہ worn-out
جدی kid
مخزن storehouse
مخزن magazine
مخزن treasury
مخزن repository
مخزن warehouse
مخزن etc.)
پیٹا span
پیٹا diameter
پیٹا girth
پیٹا circumference
پیٹا breath
بنیا miser
بنیا shopkeeper
بنیا niggard
بنیا grocer
بنیا coward
مانگنا solicit
مانگنا beg
مانگنا crave
مانگنا pray
مانگنا borrow
کوری plain
کوری virgin
کوری new
کوری blindness
نزدیکی proximity
نزدیکی propinquity
نزدیکی intimacy
نزدیکی nearness
مگسی fly-like
مگسی blackish
کوس milestone
احمق stupid
احمق foolish
احمق idiot
احمق simpleton
احمق fool
احمق blockhead
احمق dunce
آریہ respectable
آریہ brave
آریہ aryan
آریہ bold
سرداری chieftaincy
سرداری chieftainship
سرداری rule
سرداری sway
سرداری headship
شعب group
شعب people
شعب race
شعب nation
چھپائی printing
چارپائی bedstead
چارپائی charpoy
چارپائی cot
سمر night
سمر tale
سمر darkness
سمر story
سمر narrative
الغیب invisible
الغیب facts)
سار worth
سار camel
سار summit
سار essence
سار extract
سار mynah
سار head
سار top
سار substance
سار pith
سار starling
سار value
سار manure
سار juice
سار heart
مگن pleased
مگن self-satisfied
مگن enjoying
مگن engrossed
مگن happy
مگن absorbed
عدیل equivalent
عدیل just
عدیل equal
عدیل alike
عدیل equitable
تجزیاتی analytical
گانڈ bottom
گانڈ bum
گانڈ arse
گانڈ ass
یوگا yoga
پیڑ plant
پیڑ tree
پیڑ shrub
سائی rubbing
مرحمت grant
مرحمت benevolence
مرحمت clemency
مرحمت pity
مرحمت favour
مرحمت courtesy
مرحمت bestowal
مرحمت pardon
لاما llama
لاما lama
جھاڑ winnowing
جھاڑ tree
جھاڑ bush
جھاڑ etc.)
جھاڑ chandelier
جھاڑ plant
بشری human
بشری anthropic
غمگین sad
غمگین sorrowful
درازی height
درازی length
ملال resentment
ملال melancholy
ملال dejection
ملال displeasure
ملال malice
ملال grief
ملال sadness
نیزہ lance
نیزہ spear
نیزہ javelin
سراب mirage
سراب illusion
خاقان emperor
خاقان king
گاری doing
گاری possessing
نومولود newborn
سالمہ molecule
حربہ arms
حربہ javelin
حربہ dart
حربہ weapon
حربہ ruse
حربہ invasion
حربہ stab
حربہ trick
حربہ thrust
تلخی acrimony
تلخی bitterness
تلخی unpleasantness
تلخی pungency
تلخی rancour
عمامہ turban
پلک instant
پلک moment
بندھا tied
بندھا established
بندھا usual
بندھا fastened
بندھا bound
بندھا fixed
بندھا ordinary
بندھا continuous
شارک starling
شارک myna
سنٹی cane
سنٹی stick
سنٹی twig
سرسری cursorily
سرسری summary
سرسری briefly
سرسری cursory
فصاحت eloquence
فصاحت perspicuity
زند wrist
زند zend
زند wrist-bone
ارقم bicoloured
اموال goods
اموال wealth
اموال property
اموال chattels
اموال riches
اموال possessions
خلقت world
خلقت people
خلقت populace
خلقت mankind
خلیق courteous
خلیق kind
خلیق polite
خلیق urbane
خلیق civil
خلیق affable
بانس bamboo
مہک odour
مہک scent
مہک fragrance
مہک smell
یاں here
مدفن tomb
مدفن grave
کپتانی captaincy
نک nail
نک heel
نک nose
دِنوں days
باندھنا form
باندھنا bind
باندھنا imprison
باندھنا etc.
باندھنا fetter
باندھنا tie
باندھنا embank
باندھنا design
باندھنا arrest
باندھنا build
باندھنا settle
باندھنا captivate
باندھنا impose
باندھنا compose
باندھنا chain
باندھنا devise
باندھنا gather
باندھنا check
عقب behind
عقب back
عقب offspring
عقب after
عقب heel
عقب rear
بڑھیا valuable
بڑھیا excellent
بڑھیا expensive
بڑھیا rich
بڑھیا superior
بڑھیا fertile
کھود digging
لغو absurd
لغو unsubstantiated
لغو nonsense
لغو nonsensical
لغو gibberish
لغو frivolous
لغو preposterous
میم lady
میم ma'am
میم madam
ناسخ amanuensis
ناسخ annulling
ناسخ scribe
ناسخ abolishing
پنیر paneer
پنیر cheese
بندھ bandage
بندھ string
بندھ bond
بجز beside
بجز except
بجز save
بجز without
نعش corpse
نعش pleiades
گپ canard
گپ tattle
گپ chat
گپ gossip
پذیری taking
وبال burden
وبال misfortune
وبال ruin
وبال curse
وبال pestilence
وبال plague
وبال nuisance
وبال troublesome
وبال vexation
وبال load
وبال burdensome
کنز treasure
کنز treasury
پامالی trampling
پامالی destruction
پامالی devastation
ناف umbilical
ناف middle
ناف umbilicus
ناف centre
ناف navel
جگت world
جگت universe
بکرا he-goat
بھاپ exhalation
بھاپ vapour
بھاپ steam
پڑنا interfere
پڑنا halt
پڑنا participate
پڑنا encamp
پڑنا fall
پڑنا meddle
بیزاری displeasure
بیزاری weariness
پیامی messenger
حرفی literal
دیرپا durable
دیرپا lasting
دیرپا permanent
دیرپا long-lasting
وساطت means
وساطت interposition
وساطت mediation
وساطت intercession
وساطت medium
مسل treading
مسل rubbing
سوموار monday
کوٹھی granary
کوٹھی factory
کوٹھی store-room
کوٹھی magazine
کوٹھی warehouse
کوٹھی bungalow
کھویا destroyed
کھویا lost
ولے but
توڑنا destroy
توڑنا interrupt
توڑنا dismay
توڑنا kill
توڑنا smash
توڑنا scatter
توڑنا discourage
توڑنا demolish
توڑنا split
توڑنا break
توڑنا disperse
توڑنا discontinue
صلوٰۃ benediction
صلوٰۃ prayer
صلوٰۃ supplication
آبادیات demography
زعفران saffron
منتر spell
منتر advice
منتر incantation
منتر mantra
منتر charm
مقعد hips
مقعد anus
مقعد rectum
مقعد posterior
پیچیدگی contortion
پیچیدگی complexity
پیچیدگی twist
پیچیدگی complication
پیچیدگی turn
جانشینی heirship
جانشینی succession
پٹری scale
پٹری rail
پٹری track
پٹری ruler
پٹری avenue
عمیق profound
عمیق deep
معصیت disobedience
معصیت sin
نسیج tissue
ناراضی anger
ناراضی displeasure
رنگی painter
رنگی dyer
رنگی colourful
غدیر puddle
غدیر pond
غدیر pool
کشید extraction
کشید distillation
کشید brewing
کشید derivation
آبیاری irrigation
بھٹک instantly
بھٹک immediately
بھٹک erring
بھٹک deviation
بھٹک depravity
ارواح demons
ارواح souls
ارواح spirits
رضاعت fosterage
رضاعت affinity
رضاعت breast-feeding
رضاعت suckling
بوجہ for
مطبوعات publications
مطبوعات books
تلی fried
تلی bottom
زچگی childbirth
زچگی maternity
پوست shell
پوست bark
پوست poppy
پوست skin
پوست rind
پوست crust
پوست layer
عصا support
عصا staff
عصا mace
عصا sceptre
عصا club
پنچایت fraternity
پنچایت nonsense
پنچایت arbitration
پنچایت panchayat
پنچایت community
پنچایت clamour
چری grazing
چری shaking
چری locomotive
چری conceit
چری pride
چری unsteady
چری movable
چری tremulous
چری pasturing
چری exultation
مجلسی social
مجلسی civil
سمعی audio
بایاں left
بایاں dholak
پرند flying
پرند pearl
پرند bird
پرند hope
پرند winged
یگانہ kinsman
یگانہ sole
یگانہ relation
یگانہ incomparable
یگانہ singular
یگانہ unrivalled
یگانہ kindred
یگانہ single
یگانہ unique
یگانہ one
نابالغ underage
نابالغ minor
مصروفیت preoccupation
مصروفیت engagement
بدرجہ far
بدرجہ greatly
بدرجہ vastly
زاری groaning
زاری supplication
زاری entreaty
زاری predicament
زاری plight
زاری lamentation
زاری crying
طعام food
طعام victuals
درا highway
نٹ juggler
نٹ rope-dancer
نٹ acrobat
مرعوب overawed
مرعوب awe-struck
مرعوب impressed
بیدی altar
بیدی platform
لڑکپن boyhood
لڑکپن childhood
لٹا thin
لٹا weak
لٹا entangled
یمین vow
یمین south
یمین oath
ماقبل last
ماقبل before
ماقبل preceding
ماقبل prior
زہریلا malicious
زہریلا poisonous
زہریلا venomous
زہریلا spiteful
ننگا nude
ننگا naked
ننگا bare
تخطیط design
تخطیط demarcation
فرمانبردار vassal
فرمانبردار obeyer
فرمانبردار obedient
فرمانبردار subject
غیور high-minded
رنگیلا lively
رنگیلا fun-loving
رنگیلا florid
رنگیلا ornate
رنگیلا showy
رنگیلا jovial
رنگیلا colourful
ڈانٹ chiding
ڈانٹ rebuke
ڈانٹ scolding
ڈانٹ reproof
چاکر attendant
چاکر servant
خمسہ odes
خمسہ five
گرچہ although
آموز teaching
آموز learning
تنسیخ annulment
تنسیخ repeal
تنسیخ abrogation
تنسیخ revocation
تنسیخ quashing
تنسیخ cancellation
آشوب fear
آشوب deceiver
آشوب affliction
آشوب turbulence
آشوب apprehension
آشوب inflammation
آشوب disturbance
آشوب uproar
آشوب calamity
تلف loss
تلف destruction
تلف ruined
تلف wasted
تلف expense
التمش vanguard
توانا animated
توانا healthy
توانا powerful
توانا robust
توانا strong
سالہا years
تعویذ amulet
تعویذ talisman
تعویذ tombstone
تعویذ sarcophagus
تعویذ charm
تطہیر sanctification
تطہیر purification
تطہیر cleansing
تطہیر purgation
لوٹنا wallow
لوٹنا roll
تندرست healthy
خصائص traits
دوپٹہ dupatta
گھٹا less
گھٹا subtraction
گھٹا reduced
گھٹا reduction
کارگر moving
کارگر effective
کارگر efficacious
ناگہانی unexpected
ناگہانی accidental
برملا public
برملا open
پاکی purity
پاکی razor
پاکی cleanliness
وسوسہ unease
وسوسہ suspicion
وسوسہ apprehension
وسوسہ temptation
ولولہ tumult
ولولہ zeal
ولولہ ardour
ولولہ spirit
ولولہ enthusiasm
ولولہ noise
ولولہ outcry
ولولہ uproar
ولولہ fervour
کوی kavi
کوی kawi
نادار insolvent
نادار pauper
نادار penniless
نادار poor
نادار indigent
نادار needy
نادار bankrupt
اطوار manners
اطوار modes
اطوار habits
اطوار conduct
اطوار ways
اطوار deportment
اطوار practice
اطوار custom
اطوار behaviour
ارمان desire
ارمان wish
ارمان longing
ارمان yearning
ہتک libel
ہتک disgrace
ہتک defamation
ہتک insult
ہتک affront
ہتک disrespect
منگنی loan
منگنی betrothal
یخ snow
شغل work
شغل vocation
شغل business
شغل amusement
شغل employment
شغل occupation
شغل hobby
بھرمار surfeit
بھرمار plenty
بھرمار abundance
شیاطین devils
شیاطین demons
نباتیات botany
رضاعی foster
پچ prejudice
پچ obstinacy
پچ five
پچ bigotry
پچ defence
پچ protection
پچ consideration
پچ favouritism
پچ support
بدعنوان corrupt
بدعنوان venal
پھلی snare
پھلی blade
پھلی loop
پھلی shield
عار compunction
عار ignominy
عار shame
عار qualm
ند river
ند stream
تاش bowl
تاش friend
تاش associate
تاش brocade
تاش mentor
تاش tissue
خُداوند master
خُداوند lord
ترکیبی compounded
ترکیبی mixed
ترکیبی composed
ترازو balance
اقساط portions
اقساط instalments
اقساط parts
چھاپا stamp
چھاپا edition
چھاپا raid
چھاپا printing
چھاپا seal
چھاپا impression
مسقط muscat
یاس despair
یاس fear
یاس horror
یاس frustration
یاس despondence
یاس apprehension
دقیقہ particle
دقیقہ minute
ڈنڈی handle
ڈنڈی stem
ڈنڈی etc.
ڈنڈی twig
ڈنڈی stalk
ڈنڈی path
نالاں weary
نالاں complaining
نالاں lamenting
دھڑے groups
دھڑے parties
دھڑے factions
یکسانیت equality
یکسانیت uniformity
یکسانیت agreement
جمالیاتی aesthetic
بونی sowing
صافی spotless
صافی duster
صافی pure
صافی filter
صافی cleanness
صافی sincerity
صافی clean
صافی strainer
صافی purity
صافی wiper
برقیات electrology
نازیبا lewd
نازیبا immoral
نازیبا ugly
نازیبا ungraceful
نازیبا unbecoming
نازیبا ill-shaped
نازیبا unfit
نازیبا unseemly
نازیبا unsuitable
قمیص kameez
قمیص shirt
افراز exalting
افراز elevating
افراز raising
دُکھ distress
دُکھ bother
دُکھ ache
دُکھ affliction
دُکھ ailment
دُکھ uneasiness
دُکھ suffering
دُکھ grief
دُکھ vexation
دُکھ misery
دُکھ sorrow
دُکھ pain
گند uncleanliness
گند litter
گند filth
گند nuisance
گند stench
گند trouble
کِسی any
کِسی somebody
کِسی anybody
کِسی someone
اَور unfamiliar
اَور besides
اَور different
اَور also
اَور more
اَور unknown
اَور and
اَور neccessarily
اَور moreover
برنی eyelash
معزولی dethronement
معزولی dismissal
بتی speech
بتی word
بتی talk
بھیس manner
بھیس air
بھیس disguise
بھیس semblance
بھیس camouflage
بھیس likeness
بھیس dress
کھلنا rankle
پوشاک vestment
پوشاک clothes
پوشاک attire
پوشاک dress
پوشاک garment
ہاری farmer
لمس touch
نقائص faults
نقائص defects
خبیث wicked
خبیث miser
خبیث impure
خبیث depraved
خبیث evil
خبیث wretch
خبیث foul
خبیث bad
خبیث filthy
خبیث corrupt
دیوناگری devanagari
کمبل blanket
تارک top
تارک hill
قصائد eulogies
دہل tremor
دہل fear
دہل apprehension
دہل trembling
دہل dread
دہل quaking
گوش ear
غوطہ dive
لٹ ringlet
جوگی yogi
جوگی devotee
جوگی conjuror
جوگی ascetic
جوگی hermit
جوگی mendicant
اہرام monuments
اہرام pyramids
کج oblique
کج bent
کج curved
کج wry
کج crooked
کج twisted
لگنا reach
لگنا stick
لگنا suit
لگنا appear
لگنا begin
لگنا cost
لگنا touch
لگنا etc.)
لگنا plants)
لگنا hit
لگنا eyes)
لگنا smart
لگنا feel
لگنا close
بدسلوکی maltreatment
بدسلوکی misbehaviour
بدسلوکی discourtesy
بھاشا speech
بھاشا language
بھاشا dialect
بھاشا vernacular
بھاگا fugitive
بھاگا stampede
بھاگا disorder
بھاگا confusion
بھاگا escapee
بھاگا running
بھاگا panic
منادی proclamation
مشک water-bag
اجرام bodies
بڑھائی increase
بڑھائی advancement
جعل forgery
جعل imitation
جعل fabrication
بدو desert
بدو start
بدو beginning
بدو village
پھیرا perambulation
پھیرا etc.
پھیرا circuit
پھیرا round
پھیرا battue
پھیرا visit
پھیرا turn
یکتا single
یکتا incomparable
یکتا unique
بونا plant
بونا cultivate
بونا sow
کلیان happiness
کلیان well
کلیان prosperity
کلیان lucky
کلیان welfare
کلیان salvation
کلیان blessed
کلیان happy
کلیان benefit
کانپ misfortune
رتھ chariot
کنگنا bracelet
ماند tired
ماند dull
ماند dim
ماند lair
ماند fatigued
ماند dunghill
ماند faint
ماند den
ماند unwell
ماند faded
امواج billows
امواج waves
امواج surges
اعلام banners
اعلام flags
معروضی objective
لنگ lameness
لنگ direction
لنگ side
لنگ limping
لنگ line
لنگ lame
لنگ row
قلعی plating
قلعی gilding
قلعی varnish
قلعی whitewash
قلعی gross
وصل union
وصل joining
وصل intercourse
وصل meeting
وصل connection
رُک stay
لار string
لار row
لار series
لطائف anecdotes
لطائف jokes
لطائف pleasantries
لطائف jests
پسندیدگی approbation
پسندیدگی approval
آنگ limb
چمکتا bright
لرزہ tremor
لرزہ shaking
لرزہ shivering
لرزہ earthquake
لرزہ quake
لرزہ fright
لرزہ terror
لرزہ quivering
وحدانیت unitarianism
جکڑ clutch
افسردہ dejected
افسردہ sad
افسردہ disheartened
افسردہ depressed
افسردہ low-spirited
ہونہار promising
فہمیدہ wise
فہمیدہ prudent
فہمیدہ intelligent
اساطیری legendary
اساطیری mythical
اساطیری fabulous
اساطیری mythological
زنگ rust
زنگ blackness
اُتار descent
اُتار slope
اُتار exorcism
اُتار decrease
اُتار fall
اُتار reduction
اُتار decline
اُتار ebb
اتا father
بادی windy
بادی flatulent
بادی bloated
بادی forester
بادی flatulency
بادی flatulence
بادی rheumatic
بادی wild
بادی illuminator
بادی first
بادی beginner
دستبرداری withdrawing
گھاٹی permit
رہبری leadership
رہبری guidance
اسما nouns
اسما names
سرمد perpetual
سرمد everlasting
سرمد god
سرمد eternal
بیخ basis
بیخ origin
بیخ source
بیخ lineage
بیخ root
بیخ foundation
پارس valuable
پارس side
پارس rare
پارس benefactor
پارس rib
پارس unique
لبوں lips
گردہ sketch
گردہ dust
گردہ dirt
ناخوشگوار undesirable
ناخوشگوار unpleasant
ناخوشگوار disgusting
السنہ tongues
السنہ languages
دستار turban
خفا angry
خفا offended
خفا displeased
خفا suffocation
خفا enraged
کیڑا sapling
قبیح deformed
قبیح ugly
قبیح shameful
قبیح hateful
قبیح vile
قبیح bad
قبیح base
نار girl
نار woman
نار wife
نار hellfire
نار fire
نار pomegranate
رق parchment
رق vellum
پربت mountain
پربت hill
طوطا parrot
بزدلانہ cowardly
کڑا bracelet
کڑا unyielding
کڑا stern
کڑا hard
کڑا cruel
کڑا strict
کڑا difficult
کڑا anklet
کڑا powerful
کڑا harsh
کڑا stiff
کڑا violent
کڑا strong
لاتعلقی detachment
لاتعلقی irrelevance
بِل burrow
بِل bill
بِل hole
روگ fault
روگ worry
روگ sickness
روگ disease
روگ plague
روگ defect
پھاٹک entrance
پھاٹک gate
پھاٹک cattle-pound
پھاٹک check
پھاٹک obstruction
غلیظ thick
غلیظ obscene
غلیظ dirty
غلیظ filthy
دوش fault
دوش accusation
دوش yesterday
دوش sin
دوش wrong
دوش shoulder
دوش guilt
دوش defect
دوش blemish
دوش crime
دوش blame
دوش reproach
دوش offence
ناخوش displeased
ناخوش unhappy
عبا gown
عبا cloak
عبا toga
خار prickle
خار dissatisfaction
خار thorn
کمتری lowliness
سلمیٰ beloved
خراش excoriation
خراش cicatrix
خراش scratch
خراش scrape
عندلیب nightingale
عندلیب bulbul
کھپت consumption
کھپت use
کھپت outlay
کھپت expenditure
کھپت sale
خفی low
خفی secret
خفی faint
خفی fine
خفی hidden
خفی occult
خفی concealed
شائستگی refinement
شائستگی propriety
شائستگی courtesy
شائستگی decency
شائستگی politeness
شائستگی fitness
شائستگی suitability
پنگ serpent
پنگ reptile
لٹک air
لٹک hanging
لٹک talking
لٹک dangling
لٹک style
لٹک heedlessness
لٹک fashion
لٹک carelessness
چالاک crafty
چالاک artful
چالاک astute
چالاک foxy
چالاک ingenious
چالاک calculating
چالاک canny
چالاک clever
چالاک sly
چالاک catty
چالاک smart
چالاک cunning
سنگیت music-making
سنگیت sangeet
سنگیت chorus
سنگیت music
تلفی death
تلفی destruction
تلفی devastation
خفیف unimportant
خفیف undignified
خفیف trivial
خفیف light
خفیف small
خفیف frivolous
خفیف slight
خفیف minor
خفیف petty
خفیف little
پنچ arbitrator
پنچ judge
پنچ five
رابع fourth
حوالگی assignment
حوالگی custody
بیہودہ absurd
بیہودہ obscene
بیہودہ immoral
بیہودہ indecent
بیہودہ unprofitable
بیہودہ improper
بیہودہ vain
بیہودہ foul
بیہودہ gross
ماورا besides
ماورا except
ماورا save
کلبی cynical
بھگدڑ confusion
بھگدڑ panic
بھگدڑ stampede
بھگدڑ disorder
بوئی ogre
بوئی cultivation
بوئی sowing
پرتھوی world
پرتھوی ground
پرتھوی earth
گھات enmity
گھات ambush
گھات control
گھات mechanism
گھات concealment
گھات objective
گھات intention
گھات snare
گھات motive
گھات aim
گھات strike
گھات manner
گھات destruction
گھات etc.)
گھات murder
گھات hold
گھات purpose
گھات mode
گھات design
گھات cover
گھات blow
گھات trick
سٹ union
سٹ confederacy
سٹ league
سٹ plot
لاعلمی ignorance
لاعلمی unawareness
تاک vine
تاک gaze
تاک awaiting
تاک target
تاک wait
تاک grapes
تاک care
تاک watch
تاک aim
تاک glance
کھولنا unravel
کھولنا unbolt
کھولنا expand
کھولنا open
کھولنا disclose
کھولنا reveal
کھولنا expose
کھولنا liberate
کھولنا unfold
کھولنا explain
کھولنا begin
کھولنا untie
کھولنا clarify
کھولنا etc.)
کھولنا disengage
کھولنا start
کھولنا unlock
تحقیر insult
تحقیر humiliation
سفیدی leucorrhoea
سفیدی dawn
سفیدی whitewash
سفیدی whiteness
میلا festival
میلا carnival
میلا mela
میلا fair
شاہانہ princely
شاہانہ arrogantly
شاہانہ proudly
شاہانہ imperial
شاہانہ royal
شاہانہ magnificent
شاہانہ regal
شاہانہ splendid
بزدل timid
بزدل coward
ساعت minute
ساعت second
ساعت clock
ساعت time
ساعت watch
ساعت hour
پڑھانا instruct
پڑھانا tempt
پڑھانا teach
پڑھانا coax
پڑھانا educate
افضال favours
پیاسا thirsty
ابرا etc.
اننت infinite
اننت endless
اننت boundless
اننت eternal
شمائل virtues
شمائل habits
شمائل qualities
خلائق creatures
خلائق people
جمالیات aesthetics
ختنہ circumcision
برقیہ telegram
برقیہ electron
مصرف utilization
مصرف disbursement
مصرف use
مصرف expenditure
مصرف usefulness
مصرف expense
تھکن tiredness
تھکن fatigue
غزلیات ghazals
تاتار tartar
باکمال expert
باکمال accomplished
باکمال skilful
دہن mouth
شانتی shanti
شانتی calm
شانتی serenity
شانتی stoicism
شانتی tranquillity
شانتی peace
کانجی rice-gruel
پرا file
پرا herd
پرا company
پرا rank
اٹیک unsupported
کاک cake
کاک bread
قاف caucasus
مجازاً figuratively
مجازاً metaphorically
پرچ particle
پرچ splinter
پرچ piece
شیرنی tigress
شیرنی lioness
مافوق superior
مافوق better
مافوق distinguished
گردان revolution
گردان revolving
گردان turning
غدر riot
غدر insurgency
غدر sedition
غدر mutiny
حرکی kinetic
حرکی dynamic
لافانی immortal
گرنتھ treatise
گرنتھ book
مرکزیت centricity
مرکزیت centralization
مرکزیت centrality
ہڑپ devouring
ہڑپ misappropriated
بہنوئی brother-in-law
درخشاں shining
درخشاں brilliant
درخشاں flashing
درخشاں glittering
لپٹ scent
لپٹ blast
لپٹ flame
لپٹ odour
لپٹ gust
تجریدی imaginary
تجریدی ideal
تجریدی idea
تجریدی separate
تجریدی etc.)
تجریدی obscure
تجریدی mystical
تجریدی abstruse
سروکار relationship
سروکار relation
سروکار business
سروکار concern
سروکار connection
نحوی syntactical
رُکن pillar
رُکن member
رُکن essential
رُکن support
رُکن prop
سرغنہ chief
سرغنہ ringleader
جدل contention
جدل dispute
جدل fight
جدل polemic
جدل altercation
دہم quiet
دہم burnt-out
دہم extinguished
دہم astonished
دہم silenced
بہائو flood
بہائو current
بہائو flow
بہائو effusion
بہائو flux
کدہ abode
کدہ house
کدہ habitation
کدہ centre
جھانک deer
کوکا nose-pin
کوکا bud
اسفار volumes
اسفار travels
اسفار voyages
اسفار journeys
اسفار registers
اسفار rolls
اسفار writings
تپ anger
تپ fever
تپ tap
تپ fury
تپ devotion
جگنو firefly
جگنو glow-worm
نفلی supererogatory
سوئم third
گھبراہٹ confusion
گھبراہٹ bewilderment
گھبراہٹ alarm
گھبراہٹ nervousness
دُوسرے secondly
دُوسرے again
دُوسرے others
لاج bashfulness
لاج modesty
بردہ slave
بردہ captive
فرزانہ sagacious
فرزانہ wise
فرزانہ intelligent
کارساز doer
مالامال full
مالامال rich
حرکیات dynamics
کھوئی husk
شایان suitable
شایان desirable
شایان worthy
اوہ surprise
اوہ etc.
اوہ distress
سیربین bioscope
سیربین cosmorama
منصبی official
مشروع permissible
مشروع lawful
مشروع legal
مشروع legitimate
لالا slave
لالا lustrous
لالا bright
لالا servant
بید cane
بید reed
بید ratan
پالک protector
پالک bedstead
پالک spinach
پالک bed
پالک palak
پالک keeper
پالک cherisher
تھان abode
تھان site
تھان breed
تھان stock
ہزاری chiliarch
ہزاری respectable
تھکا tired
تھکا exhausted
تھکا fatigued
تھکا jaded
تھکا weary
لوہار blacksmith
لوہار forger
لوہار ironmonger
ترکہ legacy
ترکہ bequest
کراہت aversion
کراہت disgust
کراہت repugnance
شریر wicked
شریر mischief-monger
شریر life
شریر body
شریر bad
شریر evil
شریر mischievous
شریر naughty
شریر corrupt
ناس people
ناس ruin
ناس snuff
ناس destruction
ناس men
ناس humans
ناس mankind
کاہے why?
دَور age
دَور power
دَور time
دَور cycle
دَور revolution
دَور dominion
دَور progress
دَور times
دَور development
دَور period
دَور sway
دَور reasoning
دَور reign
دَور duration
دَور margin
دَور era
دَور movement
دَور authority
دَور perimeter
دَور course
نل pipe
نل spout
نل tube
نل tap
نل faucet
نل conduit
نل hydrant
باوا child
باوا father
باوا fakir
باوا mendicant
باوا superior
باوا elder
باوا son
پٹواری patwari
سالن etc.
گاجر carrot
مفرور fugitive
مفرور escapee
دھا scale
ڈنڈا beam
ڈنڈا stick
ڈنڈا staff
ڈنڈا bar
ڈنڈا club
ڈنڈا pole
عظم bone
باش staying
باش living
باش being
اُلٹ inverse
اُلٹ contrary
اُلٹ reverse
اُلٹ opposite
بازگشت return
بلاواسطہ directly
بلاواسطہ direct
غصب usurpation
غصب pillage
غصب plunder
ہلدی turmeric
ہلدی haldi
دھاری streak
دھاری bearing
دھاری wearing
دھاری assuming
دھاری carrying
دھاری stripe
دھاری line
دھاری army
دھاری having
دھاری host
دھاری margin
دھاری lineament
دھاری holding
دھاری border
دھاری groove
دھاری extremity
ریختہ mixed
ریختہ scattered
ریختہ plaster
ریختہ blended
ریختہ mortar
راول warrior
راول chief
راول chieftain
راول soldier
راول prince
بنگ bhang
بنگ hemp
معصومیت innocence
معصومیت sinlessness
برخاست dismissed
جستہ flung
جستہ sought
مغرور haughty
مغرور arrogant
مغرور conceited
مغرور proud
مغرور vain
روگردانی disobedience
روگردانی etc.)
جہانیاں creatures
جہانیاں mortals
شکتی power
شکتی ability
شکتی goddess
شکتی strength
شکتی capability
شکتی capacity
شکتی shakti
اہلی domesticated
اہلی homely
اہلی familiar
کائی algae
کائی moss
کائی lichen
چھایا resemblance
چھایا apparition
چھایا darkness
چھایا shade
چھایا illusion
مکڑی spider
بلوا riot
بلوا affray
بلوا tumult
بلوا rebellion
بلوا gritty
بلوا sandy
بلوا sedition
بلوا uproar
بلوا pebbly
باندی maidservant
باندی handmaid
لاوارث heirless
لاوارث stray
لاوارث waif
ریکھا mark
ریکھا fate
ریکھا line
بریں high
بریں grand
بریں sublime
بریں lofty
انجان ignorant
ننگ nude
ننگ bare
ننگ naked
ننگ reputation
ننگ disgrace
ننگ ignominy
ننگ shame
ننگ honour
تطبیق likening
تطبیق comparison
تطبیق conformity
بکواس garrulity
بکواس blabbing
یافت profit
یافت availability
یافت gains
یافت perquisite
یافت earning
یافت bribe
یافت income
یافت accessibility
عدیم absent
عدیم destitute
عدیم lacking
عدیم rare
عدیم non-existent
غایت purpose
غایت motive
غایت excessive
غایت extreme
غایت limit
غایت extremity
غایت extent
تاراج ravage
تاراج plunder
تاراج ruin
ارجمند worthy
ارجمند noble
ارجمند learned
ارجمند illustrious
ارجمند wise
ارجمند honourable
راشٹریہ national
بپا raised
بپا established
بپا afoot
آپا self-consciousness
آپا aapa
آپا self
آپا self-esteem
نمل ant
تائب repentant
تائب penitent
تائب abstinent
بست goods
بست things
بست commodity
بست property
بست baggage
بست bound
بست obstacle
بست chattels
بست shut
بست asylum
بست knot
نضیر lush
نضیر lustrous
